                       Manchete                       Valência (%)
Assad retoma Aleppo e obtém a maior vitória na guerra síri   50.00
Odebrecht diz ter agido para manter influência de Lula.      50.00
Exército admite que militar foi infiltrado em ato contra o   50.00
Temer libera saque total das contas inativas do FGTS.        50.00
Acordo terá força de lei na área trabalhista.                95.77
'Não tirarei o Padilha", diz Temer.                          20.15
Cabral e mulher viajavam para o exterior três vezes por mê   50.00
Odebrecht deu R$ 50 mi para eleição de Dilma, indicam EUA.   50.00
Reforma moderniza lei e dá mais poder a sindicatos.          50.00
EUA vão fiscalizar Odebrecht e Braskem.                      50.00
Temer: 'Nunca caí de pinguela'.                              15.79
Saque do FGTS não terá limite.                               50.00
Violência no Rio: Assassinatos sobem 41,37%.                  9.09
Chico volta atual nas letras e clássico nas canções.         98.67
Cena contemporânea chega a maioridade com peças de quatro    70.02
Show marca amizade entre Rico Dalasam e Russo Passapusso.    96.33
“Corpo Elétrico” fala sobre amor e liberdade sem fazer aná   84.88
As 30 melhores séries de todos os tempos segundo a Rolling   50.00
Morgan Freeman receberá prêmio honorário do Sindicato dos    95.52
BBC elege as 100 melhores comédias de todos os tempos.       50.00
Festival de Brasília divulga programação da edição 2017.     50.00
Morrissey volta com novo álbum, fiel às críticas políticas   82.66
Taylor Swift anuncia novo álbum “Reputation”, uma semana a   84.62
Batalhão da PM vira abrigo em tiroteio na Linha Vermelha.    50.00
Oposição ganha apoio em massa na Venezuela.                  80.78
Fundo da Cedae é investigado.                                50.00
Dilma gastou mais depois do mandato.                          9.52
Teto a todo aposentado geraria R$ 50 bi por ano.             50.00
Temer usará reformas para se fortalecer contra denúncia.     73.76
Celso Souza Barros: Esquerda precisa viver sem a ideia de    99.94
Isabela, mulher de Odebrecht, vira personagem na carcerage   50.00
Atuação de Trump contraria empresas e afeta mercados.        76.60
Despesas da União tiveram aumento real.                      86.10
Planalto teme vazamento aós homologações.                    21.45
Eike é preso e empresas se explicam.                         50.00
Chaim zaher recompra o sistema Pureri Domus.                 27.39
Macri restringe imigração e causa polêmica.                  14.00
Ao alcance da lei: Eike está em Bangu e deve delatar.        79.55
Confissões da Odebrecht já valem.                            93.33
Canetadas de Trump deixam os EUA isolados.                   50.00
Empresas e bolsas reagem a barreiras para imigrantes.        85.71
Cármen Lúcia quer sortear relatoria entre 5 ministros.       80.88
Hélio Schwartsman: Lava-Jato deve se converter no novo nor   87.28
Govwerno teve déficit recorde de R$ 154,2 bi no ano passad   50.00
Eike se entrega e indca que vai colaborar com investigaçõe   50.00
Decreto de Trump deflagra batalhas política e jurídica.      50.00
Ataque a mesquita no Canadá deixa ao menos seis mortos.      50.00
Em um mês, Doria prioriza centro de SP e zeladoria.          22.20
Supremo homologa delação da Odebrecht, mas mantém sigilo.    75.93
Contas inativas do FGTS devem injetar R$ 41 bi na economia   50.00
Trump demite secretária que questionou veto.                  7.97
Contas do govertno têm maior rombo da história.              50.00
Doria congela R$ 2,6 bi de Saúde e Educação.                 50.00
Febre amarela: país tem 120 casos e investiga 623.           50.00
Fernando Haddad: PT e PSDB se mantiveram reféns do atraso.   15.38
Plebiscito na Venezuela atrai eleitores contra gestão Madu   72.53
Colômbia tenta convencer Cuba a mediar crise no país vizin   50.00
Atendimento a baleados dispara em hospital do Rio.           50.00
Dívida de inadimplentes supera em três vezes o salário.      79.55
Ferrogrão ganha um concorrente.                              85.01
Marina: Candidatura hesitante.                               22.22
